Candidato;Partido;Coligação;Situação;Votação;Receita_total
CLAUDIO ROBERTO NAVA;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;3374;16195
CLÁUDIO ROGÉRIO DA SILVEIRA MODESTO;SD;SD;Suplente;1668;18142,86
CLAUDIO TOSCANO DE ARAUJO;PSB;PSB;Suplente;3260;7507,46
CLEBER ADRIANO DE FARIA;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;718;1576,25
CLEBER ARAUJO BARBOSA;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;3149;3029
CLEOMENES ANTUNES JUNIOR;PSDB;PSDB / DEM / PPS;Suplente;2612;6790
CLEUSA MARIA AMARANTE;PSDC;PSDC;Não eleito;163;0
CLEVERSON SPERBER;PRB;PRB;Suplente;9944;79940,7
CLODOALDO ARMANDO GAZZETTA;PV;PV;Suplente;48836;79944,699999999
CONCEIÇÃO APARECIDA PEDROSO;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;6;213135,32
CONCEIÇÃO MICILLO;PV;PV;Suplente;2618;2002,55
COSME ANTONIO EUZÉBIO DA SILVA;PMDB;PMDB / PROS / PP / PSD;Suplente;1152;16329,27
COSME DAMIÃO GERALDINO;PSB;PSB;Suplente;1727;4439,6499999999
CREUSA LIMA DA SILVA;PSOL;PSOL / PSTU;Suplente;241;1350
CRISTIANE APARECIDA MOURÃO;PSDC;PSDC;Não eleito;90;3552,1599999999
CRISTIANE BARBOZA CONCEIÇÃO;PRTB;PRTB;Não eleito;43;300,88999999999
CRISTIANO EURIPEDES SOARES RODRIGUES DA SILVA;PHS;PHS / PRP;Não eleito;3255;35957,6
CRISTIANO ROGER CANUTO;PEN;PEN;Não eleito;472;0
CYBELE GONÇALVES FRANZI;SD;SD;Suplente;824;9345,53
DALILA CAMARGO;PRP;PHS / PRP;Não eleito;418;0
DALILA RITA VITOR DOS SANTOS DA SILVA;PRP;PHS / PRP;Não eleito;93;312,5
DALVA DE OLIVEIRA;PRB;PRB;Suplente;118;5304,24
DAMARIS  DIAS MOURA KUO;PTB;PTB;Suplente;27137;44872,35
DAMIÃO JOSÉ DA SILVA;PV;PV;Não eleito;0;350
DANIEL CALDEIRA MATEUS;PSL;PSL / PTN / PMN / PTC / PT do B;Não eleito;0;62000
DANIEL DE FREITAS CASTILHO;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;571;3166,8299999999
DANIEL FERNANDES;PTB;PTB;Suplente;184;0
DANIEL JERONIMO BRANDÃO;PRB;PRB;Suplente;577;0
DANTE JOSE DE OLIVEIRA E PEIXOTO;PSOL;PSOL / PSTU;Suplente;2086;5349,9999999999
DAVI CICHETTO DE MORAES;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;348;3080
DAVI LOPES DE LIMA;PEN;PEN;Não eleito;558;2965,76
DAYANE DE FATIMA LIMA DA COSTA;PRP;PHS / PRP;Não eleito;95;0
DEBORA ELOISA JUSTINO ROCHA;PV;PV;Suplente;4262;3955
DEBORA FARIAS CABRAL;SD;SD;Suplente;1164;8835,53
DEBORA MARCELINO DA SILVA CARDOSO;PSB;PSB;Suplente;1098;0
DÉBORA MARIA MARAGNI PEREIRA DE ABREU;SD;SD;Suplente;5369;257449,96
DECIO COUTO CLEMENTE;PEN;PEN;Não eleito;728;2100
DEISE MARA DO NASCIMENTO;PV;PV;Suplente;523;0
DEJAIR DIAS DA SILVA;PEN;PEN;Não eleito;2117;15045,36
DEJANIRA APARECIDA BENTO;PRP;PHS / PRP;Não eleito;75;0
DÉLBIO CAMARGO TERUEL;PSD;PMDB / PROS / PP / PSD;Suplente;18444;78258,61
DELDI TEIXEIRA SILVA;PHS;PHS / PRP;Não eleito;552;783
DELIO DE BARROS VELLOSO;PRB;PRB;Suplente;166;107138
DELMA REIS NICOLAU;PRP;PHS / PRP;Não eleito;88;557,5
DENIS AMBROSIO DA SILVA;PHS;PHS / PRP;Não eleito;473;0
DENISE FORCHETTI TIGRE CAETANO;PT;PT / PC do B;Suplente;6016;25480
DENISE MARIA AYRES DE ABREU;PEN;PEN;Não eleito;0;0
DENISE SINEIDE DE MARIA SOARES;PROS;PMDB / PROS / PP / PSD;Suplente;1215;5288,97
DEUSDEDIT DE PAULA MIQUELINO JUNIOR;PHS;PHS / PRP;Não eleito;2757;37810,81
DEVANIR RIBEIRO;PT;PT / PC do B;Suplente;60808;1248971,61
DIANA PAULA ANDRADE JULIÃO;PRB;PRB;Suplente;90;1928
DIDACIO MILHOMENS BARROS;PSB;PSB;Suplente;1991;0
DIEGO GOMES FREITAS;PEN;PEN;Não eleito;208;1115
DIEGO RODRIGO AMADOR BUENO DE CAMARGO E BELFORT ORTIZ MONTEIRO;PSC;PSC;Suplente;12979;185273,49
DILZA MIEKO MURAMOTO SHIROMA;PEN;PEN;Não eleito;2162;452,19999999999
DIMITRI AURELIO DA SILVEIRA;PSOL;PSOL / PSTU;Suplente;789;1940,04
DINA MARA ZACARIAS DA COSTA;PTB;PTB;Suplente;120;11576
DINIZ LOPES DOS SANTOS;PR;PR;Suplente;13716;218949,75
DIOGO BATISTA SOARES;PMDB;PMDB / PROS / PP / PSD;Suplente;4855;30669,89
DIOGO FERNANDO SIMPLICIO DA SILVA;PSDC;PSDC;Não eleito;0;0
DIRCE TERRIANO;PPS;PSDB / DEM / PPS;Suplente;159;3120
DJALMA GONÇALVES GUIRRA;PSDB;PSDB / DEM / PPS;Suplente;492;830
DOMINGOS ALEXSANDRO COSTA MOTA;PSOL;PSOL / PSTU;Suplente;1996;26088,75
DOMINGOS BENEDITO DE MOURA E SILVA;PEN;PEN;Não eleito;87;0
DONIZETE ANTONIO MARCELINO;PSOL;PSOL / PSTU;Suplente;616;6000
DORA LICKUNAS;PEN;PEN;Não eleito;105;0
DORALICE MARIA DE JESUS SILVA;PV;PV;Suplente;602;0
DOUGLAS AUGUSTO PINHEIRO DE OLIVEIRA;PPS;PSDB / DEM / PPS;Suplente;13533;58270
DOUGLAS ELIAS BELCHIOR;PSOL;PSOL / PSTU;Suplente;11710;10715,349999999
DUCIMAR DE JESUS CARDOSO;PR;PR;Suplente;11724;180363,5
DULCE REGINA DE CARVALHO CENEVIVA;PSDB;PSDB / DEM / PPS;Suplente;2669;9015
DULCINEIA DIVINA FERIGATO;PMDB;PMDB / PROS / PP / PSD;Não eleito;0;0
DURVAL MORELLI NETO;PP;PMDB / PROS / PP / PSD;Suplente;1331;850
EDERSON GONÇALVES DE OLIVEIRA;PRP;PHS / PRP;Não eleito;785;2802,5
EDINALVA BARNABE ALVES DE AZEVEDO;PRB;PRB;Suplente;2171;1277,3999999999
EDINORÁ MARIA DO NASCIMENTO JESUS;SD;SD;Suplente;1252;13723,76
EDISON MATEUS DA SILVA;PEN;PEN;Não eleito;5832;7889,6499999999
EDIVALDO REBOUÇAS SANTANA;PHS;PHS / PRP;Não eleito;296;44203,8
EDIVALDO SILVA MEIRA;PTB;PTB;Suplente;4696;320
EDIVANDA TAVARES BOTELHO ANTONIO;PSDB;PSDB / DEM / PPS;Suplente;155;14349,23
EDMAR DIAS BRITO;PSB;PSB;Suplente;1976;200
EDMAR LUZ DE ALMEIDA;PMDB;PMDB / PROS / PP / PSD;Suplente;1285;1656,63
EDMARA FERNANDES;PROS;PMDB / PROS / PP / PSD;Suplente;11;16893,869999999
EDMILSON TEIXEIRA DOS SANTOS;PSDB;PSDB / DEM / PPS;Não eleito;0;77192
EDMILSON TOMBI DE LIMA;PRP;PHS / PRP;Não eleito;307;312,5
EDNA SANDRA MARTINS;PV;PV;Suplente;38378;447534,72
EDNÉIA DE OLIVEIRA;PRTB;PRTB;Não eleito;264;4647,93
EDSON DA CRUZ;PHS;PHS / PRP;Não eleito;1250;4276,76
EDSON DA PAZ;PT;PT / PC do B;Suplente;2331;13222,5
EDSON EDINHO COELHO ARAUJO;PMDB;PMDB / PROS / PP / PSD;Eleito por QP;112780;790367,38
EDSON GOMES DA ROCHA;PHS;PHS / PRP;Não eleito;783;2440,0799999999
EDSON HATO;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;2182;1200
EDSON ROMUALDO DA SILVA;PRTB;PRTB;Não eleito;11;0
EDSON TADEU MARIM;PV;PV;Suplente;3339;7090
EDSON TATSUMI SAKAUE;PRB;PRB;Suplente;2292;6550,6199999999
EDUARDO ANTONIO DA SILVA PIRES;PSD;PMDB / PROS / PP / PSD;Suplente;42058;695
EDUARDO DALANEZI GIRON;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;606;639104,53999999
EDUARDO FRIZI NASCIMENTO;PV;PV;Suplente;1799;3850
EDUARDO LOPES DA SILVA;PSC;PSC;Suplente;1829;5965
EDUARDO MATIAS;PRB;PRB;Suplente;1327;3909,5699999999
EDUARDO NANTES BOLSONARO;PSC;PSC;Eleito por médi;82224;52661,839999999
EDUARDO NUNES BRANDÃO;PSDC;PSDC;Não eleito;1081;298,75
EDUARDO PAULO DA SILVA;PDT;PDT;Suplente;2736;0
EDUARDO PEDROSA CURY;PSDB;PSDB / DEM / PPS;Eleito por QP;185638;497781,59999999
EDUARDO SANASSAR FONSECA;PV;PV;Suplente;1064;6534,5
EDUARDO TSUNEO SAITO;PHS;PHS / PRP;Não eleito;426;4593
EDVALDO DE SALES MOZZONE;PTB;PTB;Suplente;530;0
EDVALDO GERMANO SALES;PSB;PSB;Suplente;549;7789,96
ELAINE APARECIDA BELLONI ABISSAMRA;PSB;PSB;Suplente;622;0
ELAINE APARECIDA GUSMAN;PTB;PTB;Suplente;341;6576
ELAINE IOLANDA PIDORI;PRP;PHS / PRP;Não eleito;219;312,5
ELAINE SILVA PIRES;PMDB;PMDB / PROS / PP / PSD;Suplente;573;0
ELAINE SILVEIRA NEVES;PMDB;PMDB / PROS / PP / PSD;Suplente;890;14827,94
ELANIA NANINHA MELO;PV;PV;Suplente;355;0
ELCY RIBEIRO DOS SANTOS;PRP;PHS / PRP;Não eleito;284;449,3
ELENI SANTOS DA SILVA;PSDB;PSDB / DEM / PPS;Suplente;85;200
ELIANA CONRADO GOTTSFRITZ FERNANDES;PHS;PHS / PRP;Não eleito;439;893
ELIANA DE FÁTIMA CAROLINO;PSB;PSB;Suplente;250;0
ELIANA LUCIANO DOS SANTOS;PRB;PRB;Suplente;130;2066
ELIANA MARIA DOS SANTOS;PTB;PTB;Suplente;272;5643,4099999999
ELIANA PENHA RINALDI SILVEIRA;PSTU;PSOL / PSTU;Suplente;79;515,88
ELIAS ALEXANDRE DE AMORIM;PSDC;PSDC;Não eleito;0;0
ELIAS DOS ANJOS;PHS;PHS / PRP;Não eleito;1445;53431,08
ELIAS FERNANDES CASSUNDÉ;PMDB;PMDB / PROS / PP / PSD;Suplente;11781;209791,87999999
ELIENE SIQUEIRA RIBEIRO;PMDB;PMDB / PROS / PP / PSD;Suplente;241;16234,82
ELIPÉRSIDA CANDOTTO POZELLA DA SILVA;PRB;PRB;Suplente;317;29018,899999999
ELIS CORDEIRO DA SILVA;PRB;PRB;Suplente;660;2528
ELISABETE DE ALMEIDA SANTO;PMDB;PMDB / PROS / PP / PSD;Suplente;93;9664,5
ELISANGELA APARECIDA BORGES MIGUEL;PRP;PHS / PRP;Não eleito;2416;5420
ELISANGELA VIEIRA FERREIRA;PSDC;PSDC;Não eleito;396;8413,5799999999
ELISEU GABRIEL DE PIERI;PSB;PSB;Suplente;64932;1279426,9599999
ELISEU MINICHILLO DE ARAUJO;PMDB;PMDB / PROS / PP / PSD;Suplente;1145;61005,17
ELISSANDRA LUCIANO DE ARAUJO;PRB;PRB;Suplente;391;4660
ELIZABETE DE OLIVEIRA CAETANO;PSDB;PSDB / DEM / PPS;Suplente;2151;200
ELIZABETE DOMINGUES DOS SANTOS;PSDB;PSDB / DEM / PPS;Suplente;311;200
ELIZABETH DUTRA GONZAGA DA SILVA;PT;PT / PC do B;Suplente;2268;7650
ELLEN RUIZ;PSTU;PSOL / PSTU;Suplente;85;515,88
ELMER GOMES HAYASHIGUCHI;PSC;PSC;Suplente;11612;41658,81
ELSE ANGELICA FELIPE DE PAULA;PSTU;PSOL / PSTU;Suplente;160;1238,54
ELTON FERNANDO DA SILVA;PRP;PHS / PRP;Não eleito;630;0
ELZA ALVES DE CARVALHO;PSDC;PSDC;Não eleito;981;4378,5799999999
ELZA JANONI;PSC;PSC;Suplente;10508;108443,23
ELZA MARIA NUNES;PSDB;PSDB / DEM / PPS;Suplente;337;600
EMANOEL MESSIAS SILVA DOS SANTOS;PHS;PHS / PRP;Não eleito;742;210
EMANUEL LINS DE SÁ;PSC;PSC;Suplente;293;7501,84
EMELY CAROLINE FERNANDES CORREA;PMDB;PMDB / PROS / PP / PSD;Suplente;1262;19093,54
EMERSON FURTADO CAVADAS;PSDB;PSDB / DEM / PPS;Suplente;2298;16776,149999999
EMERSON JUSTINO DE SOUZA;PSC;PSC;Suplente;2234;16776,84
EMERSON LIMA DOS SANTOS;PHS;PHS / PRP;Não eleito;4143;3026,5
EMILSON ANTONIO MARTINEZ ROVERI;PSOL;PSOL / PSTU;Suplente;1911;9890
ENEIDA FIGUEIREDO KOURY;PSOL;PSOL / PSTU;Suplente;1930;27095,24
ENILDO INACIO DA SILVA;PRTB;PRTB;Não eleito;77;402,91
ENIO TADEU ZENEZI;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;325;3716,7499999999
ERALDO NOVAES;PDT;PDT;Suplente;285;0
ERASMO VIEIRA DE SOUSA;PSB;PSB;Suplente;321;3051,9799999999
ERISBERTO ANTONIO MOREIRA COSTA;PSOL;PSOL / PSTU;Suplente;818;8542,5
ERMELINDO INACIO MARTINS JUNIOR;PSC;PSC;Suplente;4225;28966,119999999
ERMY ANDRADE PENA;PRB;PRB;Suplente;41;1928
EROSTINA TOMAZ DA SILVA CERQUEIRA;PDT;PDT;Suplente;86;527,5
ESTELA DE OLIVEIRA PREMAZZI;PMDB;PMDB / PROS / PP / PSD;Suplente;121;10394,5
ESTER DA SILVA;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;370;3226,25
ESTEVAN MARTINS DE CAMPOS;PSOL;PSOL / PSTU;Suplente;612;1450
ESTHER ERCILIA PRUDENTE STEDTLER;PSDC;PSDC;Não eleito;333;3283
ETELVINO CAETANO DA SILVA;PMDB;PMDB / PROS / PP / PSD;Não eleito;0;15589,27
EUNICE  RUTH ARAUJO LOPES;PT;PT / PC do B;Suplente;9051;290938,75
EURIPEDES DE CASTRO JUNIOR;PMDB;PMDB / PROS / PP / PSD;Suplente;1045;18967,84
EURIPEDES LUIZ DE SOUSA;PRB;PRB;Suplente;9035;115820,19999999
EVA DA CONCEIÇÃO RODRIGUES DE SOUSA;PSOL;PSOL / PSTU;Suplente;244;1510
EVANDRO HERRERA BERTONE GUSSI;PV;PV;Eleito por QP;109591;455021,98
EVANIO MARCELINO;PSOL;PSOL / PSTU;Suplente;7866;2421,8399999999
EVERALDO CAETANO DA SILVA;PRP;PHS / PRP;Não eleito;639;0
EZIO FRANCISCO BALBINO;PSDC;PSDC;Não eleito;3308;6298
FABIANA LUCI DE OLIVEIRA VIANA;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;1285;0
FABIANA SOARES DE ALMEIDA;PEN;PEN;Não eleito;243;5301,35
FABIANO ANDRE LUCAS MARIANO;PDT;PDT;Suplente;16928;131120,41999999
FABIANO BATISTA REIS;PHS;PHS / PRP;Não eleito;6313;17035,099999999
FABIANO SILVA ZANGRANDE;PEN;PEN;Não eleito;310;2648,4499999999
FABIANO WASHINGTON RUIZ MARTINEZ;PV;PV;Suplente;25255;109941,89999999
FABIO APARECIDO SILVA;PMDB;PMDB / PROS / PP / PSD;Não eleito;0;9658,37
FABIO AUGUSTO MANZANO;PHS;PHS / PRP;Não eleito;496;3792,0999999999
FABIO FERRARI PORCHAT DE ASSIS;PV;PV;Suplente;3312;36958
FABIO SOARES DE OLIVEIRA;PSD;PMDB / PROS / PP / PSD;Suplente;4443;28451,619999999
FABRICIO RODRIGUES RIBEIRO;PDT;PDT;Suplente;699;3350
FATIMA APARECIDA FERREIRA;PMDB;PMDB / PROS / PP / PSD;Suplente;686;17691,48
FATIMA TERESINHA DE AGUIAR;PTB;PTB;Suplente;993;6576
FAUSTO RUY PINATO;PRB;PRB;Eleito por médi;22097;143644,66999999
FELIPE BRILHANTE MAROPO;PSOL;PSOL / PSTU;Suplente;529;7163,8999999999
FELIPPE MENDONCA;PPS;PSDB / DEM / PPS;Suplente;1574;0
FERNANDA GONSALO CASARINI;PT;PT / PC do B;Suplente;611;3125
FERNANDO BISPO DA SILVA;PROS;PMDB / PROS / PP / PSD;Suplente;32137;103770,69999999
FERNANDO DE OLIVEIRA;PRP;PHS / PRP;Não eleito;1520;67,5
FERNANDO DE OLIVEIRA E SILVA;PMDB;PMDB / PROS / PP / PSD;Suplente;1223;14179,35
FERNANDO DOS SANTOS COELHO;SD;SD;Suplente;2074;105254,95
FERNANDO JOSÉ DOS SANTOS;PTB;PTB;Suplente;1390;3185,6499999999
FERNANDO NEY RODRIGUES SANTOS;PSDC;PSDC;Não eleito;323;2944,79
FILINHA DE OLIVEIRA CARDOZO;PSDC;PSDC;Não eleito;340;2059
FIRMINA ALVES DA SILVA;PHS;PHS / PRP;Não eleito;42;455
FLAUDIO AZEVEDO LIMAS;PT;PT / PC do B;Suplente;61347;353626,73999999
FLAVIO AUGUSTO DA SILVA;PSB;PSB;Eleito por médi;90437;102578,40999999
FLAVIUS COTAIT RUGGIERO;PMDB;PMDB / PROS / PP / PSD;Suplente;1053;31384,84
FLORIANO FERREIRA DA SILVA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;111;1965
FLORISVALDO LOPES DE OLIVEIRA;PCO;PCO;Não eleito;216;967,41999999999
FRANCESCO GAGLIANO;PDT;PDT;Suplente;836;0
FRANCESCO MARIA QUERINI;PSDB;PSDB / DEM / PPS;Suplente;1667;2287
FRANCINETO LUZ DE AGUIAR;PMDB;PMDB / PROS / PP / PSD;Suplente;26013;876298,62
FRANCISCA CLEMENTINO DE SOUSA;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;226;500
FRANCISCO CARLOS CONCEIÇÃO;PTC;PSL / PTN / PMN / PTC / PT do B;Não eleito;0;7145
FRANCISCO CARLOS DA SILVA;PTB;PTB;Não eleito;0;12367,7
FRANCISCO CARLOS LIMA DOS SANTOS;PRP;PHS / PRP;Não eleito;998;350
FRANCISCO CARLOS MOTTA;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;6158;26141,25
FRANCISCO CARLOS SABINO;SD;SD;Suplente;1283;0
FRANCISCO CARLOS XAVIER JUNIOR;PTB;PTB;Suplente;539;0
FRANCISCO DAS CHAGAS FRANCILINO;PT;PT / PC do B;Suplente;58787;1302044,7599999
FRANCISCO DE PAULA DE OLIVEIRA LEITE;PSDB;PSDB / DEM / PPS;Suplente;20151;48893,5
FRANCISCO DOS REIS VILELA;PTB;PTB;Suplente;12965;186011,8
FRANCISCO EDUARDO ANICETO ROSSI;PR;PR;Suplente;10343;86086
FRANCISCO EVERARDO OLIVEIRA SILVA;PR;PR;Eleito por QP;1016796;983589,99999999
FRANCISCO GOMES DA SILVA;PDT;PDT;Suplente;10923;14973,19
FRANCISCO MANSANI QUEDA;PSC;PSC;Suplente;3736;6951,84
FRANCISCO MARCELO ORTIZ FILHO;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;32195;246835,84999999
FRANCISCO MARCIO DE CARVALHO;PSB;PSB;Suplente;3473;16614,459999999
FRANCISCO MIGUEL NETO;PTB;PTB;Suplente;4447;71801,8
FRANCISCO MOACIR BEZERRA DE MELO FILHO;PSB;PSB;Suplente;19476;82391,96
FRANCISCO TADAO NAKANO;PDT;PDT;Suplente;3646;23390,29
GABRIEL DE JESUS CARDOSO;PSC;PSC;Não eleito;0;0
GABRIELA VASCONCELOS DE JESUS;PSTU;PSOL / PSTU;Suplente;126;515,88
GALENO LOUREIRO SOBRINHO;PSDB;PSDB / DEM / PPS;Suplente;1983;7990
GEILSON JERONIMO DE OLIVEIRA;PMDB;PMDB / PROS / PP / PSD;Suplente;703;14247,959999999
GENILDO CRUZ FERREIRA;PSOL;PSOL / PSTU;Suplente;535;7078,5
GENILSON DOS SANTOS;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;607;6773,3
GENTIL DA SILVA NUNES;PSOL;PSOL / PSTU;Suplente;1337;17035,2
GERALDO ALVES DIONISIO;PT;PT / PC do B;Suplente;356;5240
GERALDO DA SILVA;PTB;PTB;Não eleito;0;4976
GERALDO FERREIRA DA CRUZ;PSDC;PSDC;Não eleito;0;0
GERALDO MAGELA MENDES QUADROS;PTB;PTB;Suplente;201;0
GERALNICE ALVES TEIXEIRA;PRP;PHS / PRP;Não eleito;399;2585
GEREMIAS NUNES DE SIQUEIRA;PSDC;PSDC;Não eleito;577;1181006,71
GERSON HENRIQUE SARTORI;PT;PT / PC do B;Suplente;44164;1181006,71
GERVASIO APARECIDO DA SILVA;PP;PMDB / PROS / PP / PSD;Suplente;21402;114400,72
GESOFATO VERNIN;PR;PR;Suplente;3334;497098
GETULIO DUARTE FERREIRA;PSB;PSB;Suplente;1873;16383,96
GETULIO SOUZA PINTO;PSC;PSC;Suplente;747;13426,84
GIAN DANIEL GAZARRA TARTAGLIONE;PSDC;PSDC;Não eleito;144;2111,0799999999
GILBERTO AUGUSTO FELIX;PHS;PHS / PRP;Não eleito;156;0
GILBERTO CAETANO DE FRANÇA;PMDB;PMDB / PROS / PP / PSD;Suplente;12003;533848,21999999
GILBERTO COSTA MARQUES;PEN;PEN;Não eleito;15757;533634,88
GILBERTO LOURENÇO MARSON;PEN;PEN;Não eleito;2636;13040
GILBERTO MARQUES;PSOL;PSOL / PSTU;Não eleito;0;300
GILBERTO NASCIMENTO SILVA;PSC;PSC;Eleito por QP;120044;774832,83
GILBERTO PINTO CARDOSO FILHO;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;792;4316
GILDEINA DOS SANTOS ALMEIDA;PSTU;PSOL / PSTU;Suplente;29;1238,54
GILMARA ALMEIDA GONÇALVES RIEVRS OLIVEIRA;PSC;PSC;Suplente;18332;129639,48
GILMARA DOMINGOS DOS SANTOS;PR;PR;Suplente;201;5905
GISELDA ALVES BOMFIM;PSD;PMDB / PROS / PP / PSD;Suplente;377;10326,889999999
GIVANILDO MANOEL DA SILVA;PSOL;PSOL / PSTU;Não eleito;0;9341,25
GIVANILDO SOARES DA SILVA;PROS;PMDB / PROS / PP / PSD;Suplente;9585;222852,79999999
GORETE NATIVIDADE DA SILVA;PDT;PDT;Suplente;545;412,5
GRACIELA DE LOURDES DAVID AMBROSIO;PP;PMDB / PROS / PP / PSD;Suplente;59435;451631,49999999
GUILHERME AUGUSTO SANCHES RIBEIRO;PP;PMDB / PROS / PP / PSD;Suplente;41527;2129101,15
GUILHERME CAMPOS JUNIOR;PSD;PMDB / PROS / PP / PSD;Suplente;69426;3297230,06
