Candidato;Partido;Coligação;Situação;Votação;Receita_total
GUILHERME LEVY GARISIO SARTORI;PTB;PTB;Suplente;18464;216005,86
GUILHERME MUSSI FERREIRA;PP;PMDB / PROS / PP / PSD;Eleito por QP;156297;4070049
GUILHERME SARTORIS DE AZEVEDO SOUZA;PRTB;PRTB;Não eleito;63;402,91
GUSTAVO HENRIC COSTA;PV;PV;Suplente;46485;309769,99999999
GUSTAVO OLYMPIO ROMEIRO RAMOS MELLO;PSDC;PSDC;Não eleito;322;2293,8499999999
GUSTAVO VASQUES BITENCOURT;PRP;PHS / PRP;Não eleito;0;3724
GUSTAVO VITOR DE SOUZA ALVES;PHS;PHS / PRP;Não eleito;1180;740
HAMILTON PEREIRA;PT;PT / PC do B;Suplente;77325;417289,54
HAVANIR TAVARES DE ALMEIDA NIMTZ;PRTB;PRTB;Não eleito;10668;24168,599999999
HAYDEE FERRAZ SIMÕES;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;240;4894
HEITOR HENRIQUE GONZALEZ TAKUMA;PTB;PTB;Suplente;6469;93963,239999999
HEITOR ROBERTO TOMMASINI;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;168;3570,1699999999
HELCIO ANTONIO DA SILVA;PT;PT / PC do B;Suplente;43872;480633,17999999
HELIO ALVES RIBEIRO;PSB;PSB;Suplente;17855;98551,36
HELOISA HELENA FRANÇA GOMES;PSB;PSB;Suplente;354;786,63
HENRI HAJIME SATO;PMDB;PMDB / PROS / PP / PSD;Suplente;3756;19301,48
HENRIQUE STEIN SCIASCIO;SD;SD;Suplente;23901;215131,91
HERCULANO CASTILHO PASSOS JUNIOR;PSD;PMDB / PROS / PP / PSD;Eleito por QP;92583;3502591,2699999
HERCULES ROCHA DE GOES;PV;PV;Não eleito;0;0
HERMES RODRIGUES NERY;PHS;PHS / PRP;Não eleito;6574;2055
HILDEBRANDO NERY DE ALMEIDA;PRB;PRB;Suplente;1776;27268,32
HILTON ALVES MACEDO;PRB;PRB;Suplente;2478;81066,239999999
HOSANNAH DA SILVA VALE;PRTB;PRTB;Não eleito;115;432,92
HUDSON PESSINI;PMDB;PMDB / PROS / PP / PSD;Suplente;6239;15118,34
HUGO TADEU GHIRALDINI;PTB;PTB;Suplente;1390;17860
INGRID VANESSA DA SILVA;PRB;PRB;Suplente;240;3577,34
IOLANDA KEIKO MIASHIRO OTA;PSB;PSB;Eleito por QP;102963;11317,24
IRACEMA CUNHA COSTA;PSDB;PSDB / DEM / PPS;Suplente;2696;556803,16
IRACY APARECIDA ANTUNES DE SOUZA;PDT;PDT;Suplente;81;200
IRENE ALVES CORRÊA;PSOL;PSOL / PSTU;Suplente;216;1075
IRIS MARIA PEREIRA DA SILVA;PSOL;PSOL / PSTU;Suplente;80;142,4
ISABEL CRISTINA LIMA;PSDC;PSDC;Não eleito;13;1102,1599999999
ISABEL CRISTINA PEREZ;PSOL;PSOL / PSTU;Suplente;62;0
ISAEL DOMINGUES;PV;PV;Suplente;26324;74204
ISAIAS RIBEIRO DE ARRUDA;PTB;PTB;Suplente;1990;11771
ISMAEL JUDÁ DOS SANTOS NICÁCIO;PDT;PDT;Não eleito;0;0
ISRAEL MARQUES CAJAI;PTB;PTB;Suplente;608;817,95
ITAMAR ALVES DE OLIVEIRA;PDT;PDT;Suplente;3136;17212,759999999
IVAN FRANCISCO DA SILVA MUNIS;PRB;PRB;Suplente;360;3197,2399999999
IVAN PEREIRA DA SILVA;PDT;PDT;Suplente;1101;3733,89
IVAN VALENTE;PSOL;PSOL / PSTU;Eleito por QP;168928;296103,58999999
IVANILDO ALVES BARBOSA;PV;PV;Suplente;235;0
IVANILDO GOMES NOGUEIRA;PRB;PRB;Suplente;4672;32014,98
IZABEL APARECIDA DA SILVA;PSDB;PSDB / DEM / PPS;Não eleito;0;765
IZAMAR NUNES DA SILVA;PSDC;PSDC;Não eleito;535;752
IZAQUE JOSE DA SILVA;PSDB;PSDB / DEM / PPS;Suplente;33724;120644,46
IZILDA FÁTIMA DONIZETI RIBEIRO ARAUJO;PR;PR;Suplente;245;12572,5
JADER PEREIRA REIS;PSDC;PSDC;Não eleito;0;2054,6599999999
JADISON RODRIGUES DE OLIVEIRA;PSOL;PSOL / PSTU;Suplente;500;673,75
JADSON MENDES DE LIMA;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;29695;56124,599999999
JAILSON GOMES DE MEDEIROS;PHS;PHS / PRP;Não eleito;1609;8868,45
JAIME DONIZETI PEREIRA;PSC;PSC;Não eleito;0;152271,84
JAIME MINQUINI PERROTI;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;157;580
JAIR FRANCISCO ARCI;PTB;PTB;Suplente;223;1620
JAIRO DE SOUZA;PSDB;PSDB / DEM / PPS;Suplente;7127;25395,05
JAIRO FERREIRA DA SILVA;PTB;PTB;Não eleito;0;3569,3499999999
JAMIL PAULO PRUDENCIANO;PSOL;PSOL / PSTU;Suplente;2418;933,13
JANAINA APARECIDA MARQUES DA SILVA;PRB;PRB;Suplente;252;4650,6199999999
JANAINA DA CUNHA MOREIRA;PTB;PTB;Suplente;732;14438,899999999
JANDUI VALDEVINO DA SILVA;PV;PV;Suplente;229;883,89999999999
JANETE ROCHA PIETA;PT;PT / PC do B;Suplente;77595;1925587,8499999
JANIO BENITO COSTA;PHS;PHS / PRP;Não eleito;2482;13943,25
JANIO GONÇALVES DE OLIVEIRA;PMDB;PMDB / PROS / PP / PSD;Suplente;34958;303350,2
JEAN ALEX TAMAZATO;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;134;525
JEAN DORNELAS;PRB;PRB;Suplente;12929;47108,68
JEAN GUIMARAES MENDES;PMDB;PMDB / PROS / PP / PSD;Suplente;955;10000
JEFERSON CAMILLO DE OLIVEIRA;PRB;PRB;Suplente;284;17189,119999999
JEFERSON LUIS DA SILVA;PROS;PMDB / PROS / PP / PSD;Suplente;6637;3955
JEFFERSON  ELOY;PV;PV;Suplente;2001;3955
JEFFERSON ALVES DE CAMPOS;PSD;PMDB / PROS / PP / PSD;Eleito por QP;161790;653875,41999999
JEFFERSON TORRES DA CRUZ;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;430;870,46999999999
JENIS DE ANDRADE;PSOL;PSOL / PSTU;Suplente;10259;3691,5499999999
JENNIFER MISAEL DE OLIVEIRA;PRB;PRB;Suplente;58;2407,2399999999
JERUSA JANUARIA DA SILVA;PHS;PHS / PRP;Não eleito;762;733
JESSE DA COSTA CORREA;PSDB;PSDB / DEM / PPS;Suplente;2936;940
JOÃO AMAURICIO PAULI;PV;PV;Suplente;10252;58430,6
JOAO AUGUSTO BARBOSA DE LIMA;PRP;PHS / PRP;Não eleito;2923;532,5
JOÃO BATISTA BIANCHINI;PTB;PTB;Suplente;4281;53026,54
JOÃO BATISTA DE PAULA LOPES;PRP;PHS / PRP;Não eleito;2018;6932,3
JOÃO BATISTA DE SOUZA LIMA;PT;PT / PC do B;Suplente;2351;14765
JOAO BATISTA GOMES SOARES;PV;PV;Suplente;453;1370
JOÃO BATISTA MARCELINO;PRTB;PRTB;Não eleito;320;5086,9299999999
JOÃO BATISTA SILVA;SD;SD;Não eleito;0;2863,25
JOÃO CARLOS ANDRADE CARDOSO JUNIOR;PEN;PEN;Não eleito;139;0
JOÃO CARLOS MACHADO;PDT;PDT;Suplente;4307;111046,22
JOÃO DA SILVA FILHO;DEM;PSDB / DEM / PPS;Suplente;9536;42742,15
JOÃO DAS MERCÊS ALMEIDA;PTB;PTB;Suplente;3750;22895,6
JOÃO DORETO CAMPAGNARI NETO;PSB;PSB;Suplente;1054;11627,9
JOAO DOS SANTOS ALVES SOBRINHO;PSB;PSB;Suplente;1849;2300
JOÃO EDUARDO DADO LEITE DE CARVALHO;SD;SD;Suplente;70370;1647420,8699999
JOÃO EZIO DE SOUZA LIMA;PEN;PEN;Não eleito;816;2425
JOÃO FELIZ GOMES;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;218;650
JOÃO FRANCISCO GARCIA;PRTB;PRTB;Não eleito;2603;26942,85
JOÃO GOMES DE ALMEIDA;PRB;PRB;Suplente;1134;10953,7
JOÃO HENRIQUE DOS SANTOS;PSB;PSB;Suplente;5015;166686,45
JOÃO JORGE FADEL FILHO;SD;SD;Suplente;37548;1045437,6799999
JOÃO LEITE;PSOL;PSOL / PSTU;Não eleito;0;0
JOÃO LOCO BATISTA DE SIQUEIRA;PEN;PEN;Não eleito;1652;9260
JOÃO MARCOS MARTINS;PEN;PEN;Não eleito;0;17778,04
JOÃO MARCOS PEREIRA VIDAL;PSB;PSB;Suplente;9363;87485,69
JOÃO MARIO BARBOSA;PV;PV;Suplente;538;2415,0799999999
JOÃO MIGUEL DE AMORIM;PSOL;PSOL / PSTU;Suplente;2466;14805
JOÃO NERES DE OLIVEIRA;PSDC;PSDC;Não eleito;41;0
JOÃO NOGUEIRA DE LIMA;PSB;PSB;Suplente;373;0
JOAO PAULO TAVARES PAPA;PSDB;PSDB / DEM / PPS;Eleito por QP;117590;1278578,76
JOÃO PEREIRA DOS SANTOS;SD;SD;Suplente;1077;17630,5
JOÃO PINHONI NETO;DEM;PSDB / DEM / PPS;Suplente;15111;28628,95
JOAO RAFAEL DE ANDRADE;PRP;PHS / PRP;Não eleito;211;1015
JOÃO ROBERTO DE SIQUEIRA;PEN;PEN;Não eleito;369;3583,0599999999
JOAO SIQUEIRA DE FARIAS;PRB;PRB;Suplente;18120;844107,81
JOAQUIM CARLOS PIRES DO AMARAL;PHS;PHS / PRP;Não eleito;653;593
JOAQUIM VENAIR MENDES;PEN;PEN;Não eleito;1777;45000
JOAQUIM VIEIRA DOS SANTOS;PSOL;PSOL / PSTU;Suplente;298;2410
JOARILDO COUTO DE OLIVEIRA;PRB;PRB;Não eleito;0;0
JOEL JOVINO DE SOUZA;PSDC;PSDC;Não eleito;704;4015,28
JOEL PEREIRA ALVES;PRB;PRB;Suplente;262;0
JONES RAFAEL REINAUER ONG;PTB;PTB;Suplente;746;7782,6499999999
JORDÃO MOISES FABREGA;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;846;11711,15
JORGE ABISSAMRA;PSB;PSB;Não eleito;0;318769,88
JORGE ANTONIO COELHO DE MELLO;PEN;PEN;Não eleito;7688;46883,54
JORGE HENRIQUE;PSDC;PSDC;Não eleito;410;0
JORGE IVAN CASSARO;PEN;PEN;Não eleito;30307;992023
JORGE KIOMASSA KINA;PV;PV;Suplente;3821;24460,63
JORGE MARTINS SALGADO;PROS;PMDB / PROS / PP / PSD;Suplente;9974;83477,24
JORGE TADEU MUDALEN;DEM;PSDB / DEM / PPS;Eleito por QP;178771;1830842,37
JOSE AFONSO DOS SANTOS;PDT;PDT;Suplente;242;0
JOSÉ ALBERTO DE LIMA E SILVA;PSDC;PSDC;Não eleito;325;2017,5
JOSE ANTONIO DO CARMO CRUZ;PT;PT / PC do B;Suplente;1706;41081,5
JOSÉ ANTONIO FERNANDES PAIVA;PT;PT / PC do B;Suplente;9846;70385,97
JOSE ANTONIO OLIVEIRA DOS SANTOS;PSC;PSC;Suplente;602;10961,699999999
JOSE APARECIDO DA SILVA JUNIOR;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;3074;490
JOSÉ APRIGIO DA SILVA;PSB;PSB;Suplente;41047;633810,04
JOSE AUGUSTO CARDOSO FILHO;PRB;PRB;Suplente;10391;184130,46
JOSE AUGUSTO ROSA;PR;PR;Eleito por QP;46905;204897,5
JOSE BENEDITO DE LIMA;PSB;PSB;Suplente;3858;8850
JOSÉ BENEDITO DOS SANTOS;PEN;PEN;Não eleito;168;0
JOSÉ BRAZ CARVALHO DA SILVA;PRB;PRB;Suplente;6275;76649,86
JOSÉ CARLOS BARBOSA DE SOUZA;PRB;PRB;Suplente;2236;29250,939999999
JOSÉ CARLOS BORGO;PDT;PDT;Suplente;4301;44565,519999999
JOSE CARLOS DE JESUS SILVA;PSDC;PSDC;Não eleito;0;2241,0799999999
JOSE CARLOS LEITE DE CARVALHO;PPS;PSDB / DEM / PPS;Suplente;505;350
JOSÉ CARLOS MASSON;PHS;PHS / PRP;Não eleito;3135;7617
JOSÉ CARLOS OCTAVIANI;PMDB;PMDB / PROS / PP / PSD;Suplente;34981;124738,81
JOSÉ CARLOS PEREIRA;PRP;PHS / PRP;Não eleito;145;0
JOSÉ CARLOS SELBACH EYMAEL;PSDC;PSDC;Não eleito;934;53597
JOSÉ CARLOS TREVENZOLLI FILHO;PEN;PEN;Não eleito;2774;5186,3
JOSE CLAUDIO FABIANO SILVA;PMDB;PMDB / PROS / PP / PSD;Suplente;701;18818,489999999
JOSÉ CORREA NEVES JUNIOR;PV;PV;Suplente;29089;452625
JOSÉ DA CRUZ VALCACI;PV;PV;Não eleito;0;0
JOSÉ DE LIMA OLIVEIRA JUNIOR;PRB;PRB;Suplente;2010;32029,079999999
JOSE DE MAR PIMENTA JUNIOR;PDT;PDT;Suplente;1722;20890
JOSÉ DE PAULA NETO;PC do B;PT / PC do B;Suplente;82105;1861100,24
JOSE DE RIBAMAR DA SILVA PASSOS;PSOL;PSOL / PSTU;Suplente;393;0
JOSÉ DELFINO RODRIGUES DA COSTA;PRB;PRB;Suplente;644;5930
JOSÉ ELIAS BATISTA CARVALHO;PCB;PCB;Não eleito;0;0
JOSÉ ELIEZER JUNIOR;PEN;PEN;Não eleito;54;0
JOSE EVANGELISTA GOMES;PRP;PHS / PRP;Não eleito;2606;50121,43
JOSE FERNANDO COSTA SILVA;PSB;PSB;Suplente;698;7146,02
JOSÉ FERREIRA  FERRO DA SILVA;PTB;PTB;Suplente;1123;12822
JOSE GERALDO DE CASTRO NETO;PV;PV;Suplente;762;12822
JOSE GUSTAVO FAVARO BARBOSA SILVA;PSB;PSB;Suplente;14474;606718,67999999
JOSÉ HENRIQUE BAPTISTA PEREIRA;PHS;PHS / PRP;Não eleito;4733;2186
JOSÉ JAIR CORREIA;PRB;PRB;Suplente;2520;11383,24
JOSÉ LUIZ DE FRANÇA PENNA;PV;PV;Suplente;52437;912652,68
JOSE LUIZ FRANCIA;SD;SD;Suplente;610;19900,41
JOSE LUIZ GLADCHI;PRTB;PRTB;Não eleito;120;3477,0299999999
JOSÉ LUIZ RIBEIRO;SD;SD;Suplente;38808;366535,67999999
JOSE MACARIO DOS SANTOS FILHO;PT;PT / PC do B;Suplente;5492;88233,159999999
JOSÉ MANOEL FERREIRA GONÇALVES;PEN;PEN;Não eleito;1268;60000
JOSE MARCIO DE CAMPOS;PRB;PRB;Suplente;963;4197,2399999999
JOSÉ MARIA RODRIGUES DE MATOS;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;4319;8870
JOSE MÁRIO DA SILVA;PRB;PRB;Suplente;831;4868,3
JOSÉ MARIO DE FREITAS MEDINA LEAL;PSOL;PSOL / PSTU;Suplente;159;0
JOSÉ MARIO YAMASHITA;PP;PMDB / PROS / PP / PSD;Suplente;604;100025,93999999
JOSE MARTINS DE ABREU CAVALCANTE;PTB;PTB;Suplente;1296;5792,35
JOSÉ MAURICIO FERREIRA;PSOL;PSOL / PSTU;Suplente;380;0
JOSE MENTOR GUILHERME DE MELLO NETTO;PT;PT / PC do B;Eleito por médi;82368;1802449,3299999
JOSE OLÍMPIO SILVEIRA MORAES;PP;PMDB / PROS / PP / PSD;Eleito por QP;154597;1530437,2
JOSE PAULO DE MENDONÇA LEMOS;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;494;995
JOSE PIRES DE ALMEIDA;PDT;PDT;Suplente;256;3831,48
JOSE RAIMUNDO DOS SANTOS DA CRUZ;PHS;PHS / PRP;Não eleito;670;873
JOSE RIBAMAR DE SOUZA RODRIGUES;PRP;PHS / PRP;Não eleito;215;312,5
JOSÉ RICARDO ALVARENGA TRIPOLI;PSDB;PSDB / DEM / PPS;Eleito por QP;233806;1731513,92
JOSE ROBERTO DE OLIVEIRA;PEN;PEN;Não eleito;0;11348,4
JOSÉ ROBERTO DOS SANTOS;PHS;PHS / PRP;Não eleito;0;593
JOSE ROBERTO MENDONÇA;PR;PR;Suplente;11753;157441,37
JOSÉ ROBERTO PREBILL;PPL;PPL;Não eleito;0;109198,56
JOSÉ ROBERTO SANTIAGO GOMES;PSD;PMDB / PROS / PP / PSD;Suplente;69604;1886994,6399999
JOSÉ RODRIGUES DOS SANTOS;PSB;PSB;Suplente;3237;8687,8099999999
JOSE RONALDO GOMES DA SILVA;PSOL;PSOL / PSTU;Suplente;481;2349,67
JOSÉ SILVA DE SOUZA;PSOL;PSOL / PSTU;Suplente;1147;2860
JOSE WALDIR PINTO;PSB;PSB;Suplente;3129;88599,199999999
JOSÉ WANDERLEY DE ANDRADE;PDT;PDT;Suplente;9586;46923,229999999
JOSE WELLINGTON DA COSTA SILVA;PSC;PSC;Suplente;448;8801,84
JOSEFA APARECIDA TAVARES DA SILVA;PHS;PHS / PRP;Não eleito;57;0
JOSENILDO ANTONIO DA SILVA;PDT;PDT;Suplente;6636;47644,57
JOSENILDO LIMA DOS SANTOS;PEN;PEN;Não eleito;270;7800
JOSEPH RAFFOUL;PTB;PTB;Não eleito;0;1000
JOSIANE BARRICHELLO;PEN;PEN;Não eleito;52;0
JOSIAS DOS REIS COELHO;PT;PT / PC do B;Suplente;2610;8800
JOSILDO FERREIRA BARRETO;PPS;PSDB / DEM / PPS;Suplente;802;19818,429999999
JOSIMAR PERES SALES;PRB;PRB;Suplente;1236;9586,7399999999
JOSUÉ SILVEIRA RAMOS;PR;PR;Suplente;8539;281845,04
JULIA AZZI COLLET E SILVA;PSOL;PSOL / PSTU;Suplente;1645;7895,4999999999
JULIANA DE PAULA LOURO STORTI;PTB;PTB;Suplente;4694;60367,61
JULIANA DOS SANTOS SILVA;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;61;700
JULIANO ARAUJO SERRANO;PT;PT / PC do B;Suplente;1734;45684
JULIO CESAR CAMPANHA;PTB;PTB;Suplente;5030;61176,249999999
JULIO CESAR DA COSTA CAIRES FILHO;PTB;PTB;Suplente;1219;3600
JULIO CESAR GALVES GOMES MANGINI MOSQUEIRO;PSB;PSB;Suplente;175;6059,46
JULIO CEZAR CARDIAL DE TULLIO;PPS;PSDB / DEM / PPS;Suplente;2626;117013,84
JULIO CEZAR DE OLIVEIRA FRANÇA;PSOL;PSOL / PSTU;Suplente;394;5240
JULIO OLIVEIRA SANCHES;PRB;PRB;Não eleito;0;6900
JUNIATA APARECIDA PAULA SANTOS GERMANN;PSB;PSB;Suplente;2872;10312,71
JUNJI ABE;PSD;PMDB / PROS / PP / PSD;Suplente;79909;1341287,21
KARINA DIAS DE OLIVEIRA;PSD;PMDB / PROS / PP / PSD;Suplente;247;2000
KARIUM DE ALMEIDA BRIZOLLA;SD;SD;Suplente;375;136167,91
KARLA FERNANDA DOS SANTOS;PR;PR;Suplente;78;0
KELLY CRISTINA DA SILVA;PT;PT / PC do B;Suplente;601;3125
KENNEDY RENE RODRIGUES DA SILVA;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;630;0
LAURINDO NUNES SABBATINI;PRP;PHS / PRP;Não eleito;0;0
LAURO CARLOS PACHECO;PSOL;PSOL / PSTU;Suplente;237;0
LAURO DE MORAES FILHO;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;1439;28214,5
LEANDRO PALMARINI;PV;PV;Suplente;17145;110902,08
LEIA BRANDAO DE SOUZA;PMDB;PMDB / PROS / PP / PSD;Não eleito;0;10394,5
LENI SANTANA;PV;PV;Suplente;179;496,38
LENINA VERNUCCI DA SILVA;PCB;PCB;Não eleito;1849;1210
LENIVALDO BARBOSA DA SILVA;PSC;PSC;Suplente;1295;11811,879999999
LEONARDO PUJATTI;PRB;PRB;Suplente;191;6117,1
LEONILDO BATISTA;PRTB;PRTB;Não eleito;2058;1300,9299999999
LETICIA HASTENREITER;PSTU;PSOL / PSTU;Suplente;54;600,63
LIETIDES RAMOS DE NOVAES;PHS;PHS / PRP;Não eleito;1683;2633,5
LIGIA BONETE PRESTES;PSDC;PSDC;Não eleito;270;1331,5
LIGIA FERNANDES DE OLIVEIRA;PCB;PCB;Não eleito;536;0
LILIAN BLECH HAMAOUI;PMDB;PMDB / PROS / PP / PSD;Suplente;191;11203,549999999
LILIANE HELENA BARBOSA CHIARELLI;PRB;PRB;Suplente;606;7321,55
LINDALVA MARIA DE BARROS MORTATTI;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;323;2002,55
LINDBERG CLEMENTE DE MORAES;PSDC;PSDC;Não eleito;2283;2578,5799999999
LINDINALVA GERCINA DA SILVA;PRP;PHS / PRP;Não eleito;292;2987
LINO BISPO ROCHA;PR;PR;Suplente;19467;210436
LIRO DE SOUSA MAIA;PTB;PTB;Suplente;4755;45593,95
LIZANDRA SIMIONATO;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;81;0
LORENI RODRIGUES;PRTB;PRTB;Não eleito;17;305,92
LOURIVAL DE JESUS DA SILVA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;333;4399,9999999999
LUCAS DE OLIVEIRA ROSA;PEN;PEN;Não eleito;269;0
LUCAS HENRIQUE TREVIZAN;PSC;PSC;Suplente;359;4501,84
LUCIA CONCEIÇÃO AMARAL;PMDB;PMDB / PROS / PP / PSD;Suplente;329;11238,5
LUCIANA CRISTINA DE SOUZA;PMDB;PMDB / PROS / PP / PSD;Suplente;181;0
LUCIANA DE ALMEIDA COSTA;PR;PR;Suplente;25962;435367
LUCIANA FLAVIA MAIA NUNES;PV;PV;Não eleito;0;14629,82
LUCIANA GOMES OLIVEIRA;PSDB;PSDB / DEM / PPS;Suplente;219;0
LUCIANO DE SOUZA SILVA;PSDC;PSDC;Não eleito;156;2246,0799999999
LUCIANO FREIRE DA SILVA;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;924;6707
LUCIANO GOMES;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;5960;9493,56
LUCILIA DE SOUZA RABELO;PRB;PRB;Suplente;462;4769,2399999999
LUCIO DOS REIS SILVA;PV;PV;Suplente;2424;8186,3999999999
LUCIO MARTINS DE FREITAS;PR;PR;Suplente;16481;221473
LUCY AMORIM REBOLLEDO ESPINOZA;PRB;PRB;Suplente;444;12289,459999999
LUIS ALBERTO DOMINGOS CAMPANA;PSOL;PSOL / PSTU;Suplente;105;661,95
LUIS GUILHERME CAMPOS DE OLIVEIRA;PSOL;PSOL / PSTU;Suplente;5617;24210
LUIS PEDRO SCARPELINI;PTB;PTB;Suplente;651;0
LUIS STEFANO GRIGOLIN;PPS;PSDB / DEM / PPS;Suplente;308;0
LUIS TEOFILO DA SILVA;PRP;PHS / PRP;Não eleito;336;4932,5
LUIZ ANTONIO BALBO PEREIRA;PTB;PTB;Suplente;2086;134967,52
LUIZ CARLOS BENTO;PSB;PSB;Não eleito;0;6945
LUIZ CARLOS CALDERONI;PMDB;PMDB / PROS / PP / PSD;Suplente;7551;48754,27
LUIZ CARLOS DONEGA NETO;PRB;PRB;Suplente;8693;51998
LUIZ CARLOS MOTTA;PTB;PTB;Suplente;94992;1362655,42
LUIZ CARLOS STEFANI DE OLIVEIRA REIS;PSDB;PSDB / DEM / PPS;Suplente;4025;0
